,Species,eBird Link,Info
270,Siberian Rubythroat,/species/sibrub/IN-PB-SH,"Perky, long-legged songbird that winters in areas with dense understory coverage, often near wet areas; breeds in open taiga and highland forest clearings. Shy, tends to stay hidden. Pale brown above, whitish below, with olive-brown flanks and pale supercilium. Adult male has the namesake jewel-like red throat, bordered in black and white; younger male may have a hint of red, while female lacks red. Often droops wings and cocks tail upright. Variable melodic song consists of beautiful warbling and occasional mimicry; calls include low, hoarse “chuk” and high “chelee.”"
271,Bar-tailed Treecreeper,/species/battre1/IN-PB-SH,"Typical treecreeper, brown above and white below with a short decurved bill and a long stiff tail. White is brightest on the throat and fades into gray on the lower breast and belly. Fine dark barring on the tail distinguishes this species from otherwise identical relatives in its range. Inhabits high-altitude coniferous and mixed forests, where it can often be found trailing along with mixed-species flocks."
272,Black-throated Thrush,/species/datthr1/IN-PB-SH,"A dark, somberly-colored thrush of middle to high-altitude forests. Usually winters at higher elevations, but will occasionally move into foothill and lowland areas as well. Male is unmistakable, with a gray back, white belly, and a pitch-black throat and chest. Females are streaky brown below and may be confused with Red-throated Thrush, but Black-throated females do not show orange on the throat or the sides of the tail; the only warm colors on either bird are the orangish underwings. In areas of overlap, beware hybrids that may show features of both species. Song consists of various repeated phrases; call includes a low “chekchekchek” and high, thin “tseee.”"
273,Orange-headed Thrush,/species/orhthr1/IN-PB-SH,"Brightly-colored ground-dwelling thrush. Bright orange head, breast, and belly are unmistakable. Some subspecies have two broad black crescents on the sides of the face. Hops about foraging in the leaf litter in forested areas, often in wet gullies and ravines. Beautiful song is composed of well-spaced strophes of warbling and buzzy notes."
274,Isabelline Shrike,/species/isashr1/IN-PB-SH,"Small pale sandy-colored shrike. Male is gray-brown above with a black mask and unmarked pale underparts that contrast with a bright cinnamon tail. Female is similar, but with a paler mask, grayer upperparts, and faint barring on the sides. Both sexes have pale underparts. Red-tailed Shrike looks similar, but male Red-tailed Shrikes have a contrasting warm brownish crown and females average whiter on the underparts. Female Red-backed Shrikes also have a warmer brown back and more prominent scaling patterns on a white breast and belly than Isabelline Shrikes. Typically found in dry brushy areas. Song composed of various whistles, warbles, and mimicry; calls are harsh and sometimes nasal."
275,Slaty-headed Parakeet,/species/slhpar1/IN-PB-SH,"A medium-sized parakeet with a bluish-gray head, green body, red bill, and yellow-tipped tail. Males and females are alike, except that males have a red patch on the shoulder. Often found in large flocks which feed on fruits, blossoms, and crops. The call is a harsh, grating screech with a metallic quality. Similar to Gray-headed Parakeet, but Slaty-headed Parakeet has a darker head, an indistinct black collar, and a different call."
276,Great Barbet,/species/grebar1/IN-PB-SH,"This largest of the barbets is colorful, but often appears all-dark from a distance. No other barbet in its range combines the features of a massive pale bill, black head, and dark olive back. Sluggish and shy; tends to stick to dense forest canopy, where it is difficult to see. Its loud hooting song (typically a series of two repetitive notes) is often the only indication of this species’s presence. Also gives a harsh, screaming “karrrrr” that has a gull-like quality."
277,Tickell's Leaf Warbler,/species/y00989/IN-PB-SH,"Brown-and-yellow leaf warbler without a wingbar. Breeds in high-altitude areas, in open areas with low vegetation. Winters at lower elevations, including throughout the Indian Subcontinent south of the Himalayas, where it is most abundant in shrubbery in the northeast Indian plains and in the high Western Ghats. Resembles Sulphur-bellied Warbler, but has a yellower cheek and underparts, and shows little contrast between the eyebrow and the throat. Tickell’s spends less time on or near the ground than Sulphur-bellied, tends to flock, and often participates in mixed-species foraging flocks."
278,Cinereous Vulture,/species/cinvul1/IN-PB-SH,"Huge, majestic, dark-brown vulture. In flight, looks all dark, with some contrast between the leading edge and trailing edge from below. Soars on flat wings, often slightly drooping, with prominent wing fingers and a saw-toothed trailing edge. Juvenile lacks the adult’s pale head patches. Imposing and dominant over other vultures at carcasses. Forages over rugged mountains, upland forests, grasslands, and steppes. Sometimes disperses significant distances in the winter."
279,Himalayan Griffon,/species/himgri1/IN-PB-SH,"A regal raptor of steppes, valleys, and mountainous regions, this large scavenger is fairly common throughout most of its range. Adult is sandy brown with a pale, featherless head. When in flight, the bird has black primaries and a small-headed, squared-winged appearance. Usually seen singly or in small groups; gathers in large flocks at a carcass. The principal scavenger at Tibetan sky burials."
280,Cotton Pygmy-Goose,/species/copgoo1/IN-PB-SH,"Tiny duck. Male has a bright white head and neck with a dark crown and eyes. Female is plainer, with a strong dark eye-line that does not continue back to the nape. In flight, females have thin white edges on the trailing edge of the wings, while males have big white slashes on the wings. Usually seen swimming in freshwater wetlands, including small ponds and farm dams, especially those with extensive floating vegetation."
281,Lemon-rumped Warbler,/species/parwar1/IN-PB-SH,"Small leaf warbler with many extremely similar relatives. Like other “Pallas’s-type” leaf warblers, has olive-yellow upperparts, pale underparts, prominent brow and crown stripes, double wingbars, and a pale rump. Unlike Ashy-throated and Buff-barred Warblers, lacks any white on outer tail edges. Pallas’s averages yellower-headed and brighter overall. Gansu and Chinese Leaf Warblers can be incredibly similar, but Lemon-rumped averages whiter-browed and yellower-bellied than the former, more contrastingly-marked on the head than the latter, and darker-billed than both. As with many other physically similar leaf warblers, best distinguished by voice and habitat. Breeds in coniferous and mixed forests at mid- to high-elevation forests, though may descend into foothills in the winter. Two song types are both highly distinctive; one is a buzzy, descending rattling trill and the other is a series of high-pitched clicking twitters. Call is a loud, strident pair of notes: “pse-tew!”"
282,Fulvous-breasted Woodpecker,/species/fubwoo2/IN-PB-SH,"Medium-sized woodpecker with stained yellowish-brown underparts. Note white barring on back and thin stripes down the neck and chest. Male has an all-red crown, female an all-black one. Compare with Stripe-breasted Woodpecker, which is whiter-faced and has more extensive and better-defined stripes on the underparts. Gives a sharp “tik” as well as a rolling rattle. Prefers open forest and forest edge."
283,Sarus Crane,/species/sarcra1/IN-PB-SH,"Tall pale gray crane with pink legs and red bare skin on head extending down the neck. Juvenile facial coloring less prominent. Typically wades in shallow wetlands or in cropped agricultural areas. Unmistakable in Asia. In Australia, take care to identify from Brolga, which has black legs and gray upper neck. Listen for its loud, far-carrying bugling calls."
284,Pallas's Gull,/species/gbhgul2/IN-PB-SH,"Large powerful gull of saline, brackish, and fresh water bodies. Breeding adult has a black head with a thin incomplete crescent around the eye and a red-and-black-tipped bill. Nonbreeding adults retain a partial “hood” of patchy black on the back of the head. Young birds also have this dark patch, though it is much smaller in size. The eye crescents and a flashing white rump help to distinguish first-winter birds from Herring-type gulls. Can be readily separated by size in any plumage from the smaller dark-headed gulls."
285,Blue-cheeked Bee-eater,/species/bcbeat1/IN-PB-SH,"A lime-green bee-eater with a thin black mask edged with aquamarine blue. Bright yellow-and-red throat patch is small compared to many other bee-eaters. Somewhat similar to Blue-tailed Bee-eater; look out for less extensive blue around the eye on Blue-tailed, the namesake blue tail, and a larger orange throat patch compared to Blue-cheeked Bee-eater. Found in open areas as well as forests from lowlands up into middle elevations. Gives a pleasantly mellow call starting off with a ticking note, followed by a trill."
286,Common Cuckoo,/species/comcuc/IN-PB-SH,"Found in woodland, heathland, farmland with hedges, marshes with scattered bushes. ""COO-koo"" song (like a cuckoo clock) often given from open perch. Note long wings and tail, barred belly, rather small bill. Flight direct and often low, suggesting a hawk or falcon. Extremely similar in appearance to various other Cuculus cuckoos across its range; note the combination of white vent, staring yellow irises, and overall large size. Lays eggs in nests of other birds, particularly pipits and reed warblers, which raise the young cuckoos."
287,Blue Rock-Thrush,/species/burthr/IN-PB-SH,"Medium-sized thrush-like bird, often seen on mountainsides, sea cliffs, quarries, ruins, and even towns. Males usually unmistakable: western birds are dark blue all over, but may appear all dark at a distance; eastern birds are blue with orange underparts. Females dark brown above, finely barred below. Long bill, wings, and tail make for a distinctive and very different shape than Rufous-tailed Rock-Thrush. Song is melodic and blackbird-like."
288,Paddyfield Warbler,/species/padwar1/IN-PB-SH,"Warm brown above and pale below; strong dark eyestripe contrasts with white eyebrow. Smallish reed warbler with long and strongly rounded tail, short bill with dark tip, and short primary projection. Difficult to separate visually from other small Acrocephalus warblers, especially Blunt-winged Warbler; note Paddyfield’s more prominent pale eyebrow which strengthens behind the eye, as well as longer-winged appearance. Also compare with Iduna warblers. Breeds in extensive reed beds; in nonbreeding season found in marshes, but also more scrubby areas. Distinctive, melodious song."
289,Greater Whitethroat,/species/grewhi1/IN-PB-SH,"Found in open, scrubby habitats from coastal heaths, open woodlands, and low hedges to bramble thickets on waste ground. Rather retiring, like most warblers, but jerky climbing display flight often draws attention. Also gives its burbling, buzzing song from a perch. Often gives a rising, sparrow-like “weet, weet.” Plumage brownish overall with bright rusty wings; grayer head has narrow whitish eyering and sets off white throat, which often looks a little puffy."
290,Little Stint,/species/litsti/IN-PB-SH,"Tiny shorebird with extensive range across Europe, Africa, and Asia. Very rare vagrant in North America. All ages show dark legs and a straight, fine-tipped bill. Adults in breeding plumage are variably flushed with bright rusty orange on the head, neck sides, and upperparts, usually brightest in mid- to late-summer. Compared with breeding Red-necked Stint, note white throat and more uniformly bright wing coverts and scapulars on Little. Juveniles are typically quite bright and neatly patterned above, often with bold white stripes or ""braces"" down the back, and have very black-centered wing coverts and tertials. Nonbreeding birds rather plain pale gray and extremely difficult to separate from other small “peeps”. Note bill shape and overall structure. Temminck’s has longer tail and more crouched posture; Red-necked has slightly shorter bill and legs and more attenuated wings. Found in fresh and brackish wetland habitats. Occurs locally in flocks; elsewhere singles travel with flocks of other waders."
291,Oriental Pratincole,/species/oripra/IN-PB-SH,"Twisting and turning on long, angular wings, this relative of the sandpipers and plovers gives a swallowlike impression in flight. Adults are brown overall with an elegant black necklace and pale yellow throat. When in flight, note dark flight feathers, chestnut underwing coverts, bright white trailing edge to the wings, and a flashing white rump. Juveniles are a mottled gray-brown above and lack the adult's necklace. Flight call a harsh “tarrack.”"
292,Jungle Prinia,/species/junpri1/IN-PB-SH,"Dull brown prinia. Largely devoid of eye-catching field marks: gray-brown above and white below with pale eyebrow. Plain Prinia can be very similar, but Jungle averages larger and more thickset, with a heavier bill and weaker eyebrows. Look for this skulker in dry scrubby tangles, often in areas intermixed with boulders. Forages close to the ground. Song is a rollicking, repetitive “ti’li’lew-ti’li’lew-ti’le’lew.” Also gives various chip notes, as well as a loud chatter when agitated."
293,Sand Lark,/species/sanlar1/IN-PB-SH,"Very pale gray-brown lark with a weak crest. Dark eyes stand out in pale face. Lightly streaked above and clean white below. Highly specialized; found only in dry, sandy waterside areas such as riverbanks, river islands, lakeshores, and coastal areas. Buzzy trilling song usually given in towering flight."
294,Tibetan Sand-Plover,/species/lessap1/IN-PB-SH,"Medium-sized plover with a pale throat, brown back, and white belly. Breeding adults have a black mask and a bright orange chest and neck; males average brighter than females. Non-breeding and immature birds are brownish above and white below, with a variable white forehead and eyebrow. Compare with slightly larger Greater Sand-Plover; Tibetan is proportionally smaller-headed and darker-legged, and its shorter bill has a slight bulge at the tip. Smaller Kentish Plover can be similar in non-breeding plumage; Tibetan is taller and longer-legged, without Kentish’s strong white neck band. Very difficult to distinguish from Siberian Sand-Plover, especially nonbreeding and immature birds, though identification can often be presumed by range. In breeding plumage, note the more extensive black mask of Tibetan, typically lacking the white spot on the forehead of Siberian. In nonbreeding plumage, look for a generally broken breast band and clean white flanks in Tibetan. In areas of overlap many birds best left unidentified. Breeds on margins of high-elevation lakes and rivers in China and Mongolia; winters on coastal mudflats, beaches, and inland lakes from Africa to Indonesia."
295,Greater Sand-Plover,/species/grsplo/IN-PB-SH,"Medium-sized plover with a long hefty bill. Breeding adults have a dark mask and orangish chest, neck, and forehead; females duller than males. Non-breeding birds and immatures are sandy brown above and white below, with a white throat and “eyebrows.” Often confused with Lesser Sand-Plover, and best distinguished when both present; look for larger size, heavier and longer bill, paler legs, and larger-headed appearance. Additionally, unlike some Lesser Sand-Plovers, Greater never has a black boundary around the throat. Breeds in high-elevation areas, where it favors arid, open habitats, sometimes near water. Winters on coastal mudflats and estuaries."
296,Kentish Plover,/species/kenplo1/IN-PB-SH,"Small, pale plover with broken black collar, sandy upperparts, grayish legs, and rather fine black bill. Breeding plumage has black mask and black tabs at sides of breast (not a complete band). Nonbreeding plumages have black replaced by brown. Mainly coastal, on sandy beaches, dry mudflats, and at salt ponds, usually near water; also locally inland. Migrants will join with flocks of other shorebirds."
297,Little Tern,/species/litter1/IN-PB-SH,"Tiny, delicate-looking tern. Mainly coastal, but also occurs inland locally. Breeding plumage has black cap with white forehead chevron, black-tipped yellow bill. Readily identified by tiny size, though wintering adults can be confusingly similar in patterning to Common Tern; look out for black stripes extending from the shoulder to the wingtip. Breeds colonially on sandy and stony substrates, at times with other terns, from beaches to riverbanks and lakeshores. Often overlooked unless noisy and mobbing you at a colony. Flies with hurried deep wingbeats; splash dives in water to catch small fish."
298,Black-winged Cuckooshrike,/species/bkwcus1/IN-PB-SH,"An overall sooty-colored cuckooshrike with broad white tips to the tail feathers. Male is dark sooty-gray with a slaty sheen, slightly paler on rump. Underparts paler toward tail; wings black. Female is very similar to male, but paler in general, often weakly barred with dark and pale gray on underparts. Male has a black mask, while female has dark lores and a faint eyering. Juvenile is blackish-brown above and brownish-gray below, heavily scaled whitish all over, with broad white tips on wing feathers. Immature like female, but more strongly and extensively barred below. Song is a loud series of whistles “pe-pe-pe-peew-peew-pew”; sometimes the starting notes are skipped. Found in all types of woodlands, including broad-leaved forests, sometimes even near cultivation during non-breeding season."
299,Indian Spotted Eagle,/species/inseag1/IN-PB-SH,"A small eagle, slightly larger than a kite but structurally similar to other large eagles, with six splayed “fingers” at the wingtip and a pale rump. Adult is rich brown overall with a long gape line that extends behind the eye. Nostrils are round. Subadults are paler, with light speckles on breast and belly. In flight from below, wings and tail are finely barred with brown on creamy white feathers. Unlike other large eagles, its long legs are lightly feathered, lacking the baggy “trousers.” Soars over grasslands, scrub, light forests, and wetlands; can be found away from wetlands, unlike the Greater Spotted Eagle."
300,Black-headed Bunting,/species/blhbun1/IN-PB-SH,"Large, stocky bunting. On breeding males, the combination of a black head, a bright yellow collar, yellow underparts, and rusty-brown back is unmistakable. The black on the face of nonbreeding males is restricted to the patch around the eyes forming a “bandit’s mask.” Female is plain brown overall with a pale yellowish wash on the vent and traces of yellow on the rump. Extremely similar to female Red-headed Bunting; best to use a combination of various details to separate the two, with the Red-headed Bunting having a yellower rump and belly, a more noticeably streaked crown, and a bulkier bill than Black-headed Bunting. Breeds in open forests, edges, and patchily planted areas like orchards and gardens. Winters in farmland. Song is a rather lacklustre series of buzzy notes. Calls are varied and include sparrowlike chirps and high thin “tseep’s.”"
301,Kalij Pheasant,/species/kalphe/IN-PB-SH,"A distinctive pheasant with bare red facial skin, a backward-pointing crest, and a vertically compressed tail. Males are iridescent black and silver. Females are grayish-brown. Coloration varies considerably throughout its range, with northeastern birds averaging the darkest. Occurs in forested areas, usually in hilly or mountainous regions. Overlaps with Silver Pheasant in the north of its range, with which it produces confusing intergrades. Native to South and Southeast Asia and introduced to the Hawaiian Islands of Hawaii and western Oahu. Males give a soft crow, other calls include low grunts and high-pitched squeals."
302,Western Crowned Warbler,/species/weclew1/IN-PB-SH,"Distinctive leaf warbler with two wingbars, green upperparts often contrasting with the gray head and the striking white underparts, a distinct crown stripe, and a long pale bill. Endemic to the Indian Subcontinent. Breeds in the western and central Himalayas. Winters primarily in southern India. Only leaf warbler other than Tickell’s Leaf Warbler to regularly participate in mixed-species foraging flocks in southern India. Similar to Blyth’s Leaf Warbler, but is less yellow and can be distinguished by its paler crown, more elongated appearance, and song."
303,Ultramarine Flycatcher,/species/ultfly1/IN-PB-SH,"Incandescently beautiful male is resplendent in electric blue and snowy white. Female is dull gray-brown with paler underparts. Slight regional variation: “Western” males have a short white eyebrow and “Eastern” females have a faint rusty patch on the forehead. Male may be confused with Himalayan Bluetail, but lacks orange. Female is similar to females of Slaty-blue and Little Pied Flycatchers, but lacks any rufous tones on the tail. Breeds in hill and montane broadleaf and pine forests; descends into lower foothills in winter. Rarely heard song a complex series of whistles and chatters; more commonly heard is the call, a dry trilling chatter, sometimes preceded by a short whistle."
304,Hume's Lark,/species/humlar1/IN-PB-SH,"Small, pale brown lark. Sandy-colored above and whitish below, with distinct white eyebrows and a slender bill. Greater Short-toed Lark is extremely similar, and distinguished only with difficulty; in Hume’s, look out for a plainer and relatively unstreaked crown, more contrastingly white eyebrows, and a more slender bill. The same combination of characteristics, along with a plain unmarked chest, can also be used to eliminate Asian Short-toed Lark. Clean underparts, lack of a strong crest, and size serve to distinguish Hume’s from other larks. Breeds in high-altitude steppe and plateau regions, in dry areas with sparse vegetation; winters in similar habitat at lower elevations. Song flight is composed of jumbled whistled, warbled, and harsher buzzing notes with long pauses between phrases; includes more whistling than similar-sounding Greater Short-toed Lark, and averages shorter-phrased in full song flight and slower overall. Call is a rolling, buzzy “cheeer,” drier and more rattling than that of Greater Short-toed."
305,Gray-headed Canary-Flycatcher,/species/gyhcaf1/IN-PB-SH,"An unmistakable, dainty woodland flycatcher with a slightly peaked head shape. It has a gray head and upper breast with a narrow white eyering. Upperparts are olive-green; breast and belly are bright yellow. An active member of mixed-species foraging flocks, but also seen singly or in pairs. Quite vocal, with a loud, squeaky whistled song delivered throughout the year: “wi-tu-wi-tu-wee!” or “wi-wuh-wuh-wee!!”. Frequently gives a rapid-fire series of high bouncy notes that rises quickly, then trails off. Other calls include sharp “chilup,” “kitwik,” or “chit” notes repeated a few times."
306,Curlew Sandpiper,/species/cursan/IN-PB-SH,"Medium-sized wader with a long, slightly downcurved bill. Slightly larger than Dunlin, with longer and finer bill, longer legs. In flight note large white rump patch. Breeding plumage deep rusty on head and body (like Red Knot). Non-breeding birds are grayish-brown above with white eyebrows and belly. Juvenile is grayish above with neat scaly feather edgings, whitish below with variable buffy wash on breast. Breeds in Russian tundra and winters in Africa, Australia, and South and Southeast Asia. Mainly in coastal wetland habitats, often with flocks of Dunlin."
307,Red-billed Blue-Magpie,/species/rbbmag/IN-PB-SH,"Raucous, vividly-colored magpie of lowland and foothill forests, gardens, and parks. Bright blue with black head, white belly, and long tail which trails loosely behind it in flight. Bright scarlet bill and extensive white crown serve to distinguish this species from the otherwise similar Yellow-billed Blue-Magpie. Travels in groups, communicating with constant, raucous, hoarse calls. Aggressive, often driving away other birds."
308,Mountain Chiffchaff,/species/mouchi2/IN-PB-SH,"Very similar to Common Chiffchaff, but distinctly darker brown, and lacks any green or yellow tones including uppertail coverts and fringes to wing feathers. Note the brownish wash to underparts, especially the flanks, the rather contrasting whitish throat, and white eyebrow. Bill and legs distinctly black. Short primary projection. Breeds in forested mountains, valleys, and foothills, including low-stature mixed forest; winters in lower elevation scrub, including acacia and tamarisks. Call similar to Siberian Chiffchaff: a high-pitched, slightly downslurred ""Piiu."" Song similar to Common Chiffchaff but faster and less “organized.”"
309,Rufous-breasted Accentor,/species/rubacc1/IN-PB-SH,"Brightly-colored accentor which combines the head pattern of Black-throated Accentor with the orange breast of Robin Accentor. Bright orange breast and eyebrow are striking, contrasting sharply with the white throat and streaked brown back. Generally, quite common in high-altitude deciduous forests where it breeds. Descends into lower, often scrubbier, habitats during the winter."
310,Rock Bunting,/species/rocbun1/IN-PB-SH,"Large, distinctive bunting. Males have a boldly black-striped gray head and breast, chestnut underparts, and streaked upperparts. Females and juveniles similar to males, just more subdued. Breeds on rocky slopes just above the treeline, preferring bushy areas with scattered trees. Feeds on seeds and invertebrates. Unobtrusive, although not particularly shy. Clear, high-pitched song draws attention to its presence."
311,Common Quail,/species/comqua1/IN-PB-SH,"Small pear-shaped gamebird. Breeds in taller grassland and grain fields from western Europe east to central Asia and winters in similar habitat in Africa, southern Europe, and South Asia. Rarely seen, and most often detected by male’s emphatic whistled ""wet-my-lips!"" song, which can be given at night. When flushed, explodes from underfoot and flies off strongly with whirring wingbeats and short glides. Plumage cryptic and streaky brown with pale eyebrow; male has black throat stripe. Very similar to Japanese Quail, whose male has a much darker face; females, immature birds, and domestic types (kept as captive for eggs and can escape) are probably not safely separable in the field."
312,Besra,/species/besra1/IN-PB-SH,"A medium-sized Accipiter of forested areas. Adult grayish brown above with a grayer head and neck, pale underparts with orange barring and blotches, and distinctive dark line in center of white throat. Coloration overall recalls Crested Goshawk, but the goshawk is much bulkier. Juvenile browner overall, with vertical brown streaking on the breast and belly."
313,Sykes's Warbler,/species/sykwar2/IN-PB-SH,"Plain brown warbler with pale legs. Breeds in Central Asia; winters primarily on the Indian peninsula. Prefers trees with sparse canopy in open, dry habitat. Can be told from Blyth’s Reed Warbler by its leaf-warbler-like behavior and longer tail, and from Booted Warbler by its less compact appearance; flatter stance; longer pale bill (mostly without a dark tip); longer, more loosely attached tail; more pointy face; harder call; and preference for canopy tops. Call is a hard, fast, continuous arrhythmic “thk…thk, thk, thk.”"
314,Gull-billed Tern,/species/gubter2/IN-PB-SH,"Medium-sized tern with thick black bill. Very pale overall with black cap in breeding plumage. Legs black. Nonbreeding plumage shows dark cheek patch. Found in marshier habitats than most other terns, in the Americas usually near the coast but not on the ocean (though also occasionally seen on beaches and mudflats); in Europe and Asia can also be found in wetlands well away from the coast. Rarely seen in flocks with other terns; often single or in pairs. Feeds on invertebrates and crabs in mud and marshes; often patrols the edges of ponds but does not grab fish from the water like other terns."
315,Bristled Grassbird,/species/brigra2/IN-PB-SH,"Large brown warbler with a streaked back and a long broad tail. Chunkier and shorter-tailed than much larger Striated Grassbird. Clambers around the dense tall grasses of lowland grasslands; favors areas with scattered shrubbery. Reclusive and will generally not flush twice in succession. Song a springy “wee-chew, chewa-wee!”, given from top of vegetation or in flight."
316,Yellow Bittern,/species/yelbit/IN-PB-SH,"Very small heron of marshy, well-vegetated water bodies. Adult pale orangish brown or yellow, depending on the light, with a narrow dark cap. Juvenile darker above with pale feather edges. Can be inconspicuous in dense vegetation, but frequently makes short flights; on flying birds, note dark flight feathers contrasting with pale yellowish wing coverts. Typically quiet, but occasionally gives harsh grating calls when flushed."
317,Striated Heron,/species/strher/IN-PB-SH,"A very widespread small heron, common across much of the globe. Small size and overall gray color separates from most other herons and bitterns. Look for contrasting dark cap, distinct pale edges on wing feathers, and white and rufous stripes on front of neck. Juvenile streakier below than adult. Similar to Green Heron but note mostly gray neck with restricted rufous. Juvenile is much smaller and more slender than juvenile Black-crowned Night-Heron, with long streaks on the chest and spotting restricted to the wings. Normally solitary, found standing quietly around wetland habitats such as marshes, agricultural fields, rivers, and lakes."
318,Savanna Nightjar,/species/savnig1/IN-PB-SH,"Well-camouflaged nightbird, usually encountered roosting on gravel riverbeds, open areas in grasslands, rooftops, or roadsides. Sometimes found in small loose flocks when roosting. Fairly well adapted to urban life in some parts of its range and often found in towns and city edges. Intricately patterned gray-brown with less white than other nightjars; only males have a fairly small white patch on the wing near the tip. Most often detected by its distinctive, high-pitched, burry “chree-ik” song, repeated over and over."
319,Mottled Wood-Owl,/species/mowowl1/IN-PB-SH,"Medium-sized patchy-looking owl with dark eyes. Densely-marked orange-and-gray coloration is unique. Typically gives single hoots, but also gives an odd, mellow tremolo vocalization in the breeding season. A lowland species, favoring groves and clusters of trees in open plains and on the edges of cultivated areas."
320,Indian Blue Robin,/species/inbrob1/IN-PB-SH,"Male is slaty-blue with a white eyebrow, dark face, and orange underparts. Female is matte brown with buffy underparts; females in the Chin Hills have a slate-gray back. Furtive and skulky; male sings from deep cover, giving a series of sharp whistles devolving into a burst of trilling and chattering notes. Prefers dense, damp undergrowth in wet forests, often in proximity to streams and gullies."
321,Fire-capped Tit,/species/fictit1/IN-PB-SH,"More of a soft blush than a burning flame, the red patch on the male’s face is nonetheless unique. The female lacks the red patch, but is still distinctive in her size, small sharp bill, and pale wingbars. Both sexes are yellow above and pale gray below, with the male being more predominantly yellow than the female. Found in montane broadleaf forest at middle to high elevations, sometimes mixed in with other species; some populations descend to lower foothills and lowlands in the winter. Song is an undulating series of twitters, chips, and trills; also twitters and trills when flocking."
322,Common Shelduck,/species/comshe/IN-PB-SH,"Distinctive, large, rather gooselike duck of coastal wetlands, tidal mudflats, and nearby grassy fields. Striking plumage often looks simply black-and-white; at close range, head is deep glossy green, broad breast band dark rusty. Male has raised knob at base of red bill; juvenile duller overall, with whitish face and eyering. Less numerous and more local inland at lakes and along rivers. Often seen walking and grazing, at times in flocks."
323,Rufous-bellied Niltava,/species/rubnil1/IN-PB-SH,"As in other niltavas, the male is brilliantly colored while the female is drab brown overall. Male bright blue with an orange belly; female is brown with a white throat strap and a small blue crescent on the neck. Female is very similar to other niltavas, intermediate in size between Little and Large niltavas, with stronger warm tones on the wings and tail than Fujian Niltava. Active in the middle and upper layers of broadleaf and mixed hill forests, where it often associates with other species in mixed flocks. Gives a series of high, piercing metallic whistles."
324,White-capped Redstart,/species/whcred1/IN-PB-SH,"Chunky, brightly-colored redstart found along rushing boulder-strewn mountain streams. Black with a wine-red belly and tail and a blazing white cap; in poor lighting, appears all dark save for the cap. Sexes similar. Frequently flicks tail up and down and flares it open while perched on a streamside rock or stump. Call is a long, sharp whistle with an abrupt ending, with a far-carrying, ventriloquial quality."
325,Brown Shrike,/species/brnshr/IN-PB-SH,"Medium-sized shrike with a slender black mask and rufous-brown rump and tail. Plumage varies across range: “Japanese” has the warmest rufous tones, “Philippine” has a gray-washed head and back, and “Brown” averages in between. Averages stronger-billed in appearance than other medium-sized “brownish” shrikes. Male’s repetitive song often incorporates imitations of other birds. Most common call is a dry “ch-ch-ch.” Favors open forests and fields with scattered trees and bushes; often in parks and gardens."
326,Eurasian Curlew,/species/eurcur/IN-PB-SH,"Scimitar-billed large shorebird of varied open habitats. Note large size, overall brown plumage, and long, decurved bill (appreciably shorter on juvenile). In flight shows white back patch, mostly white underwings. Common call an onomatopoeic ""coor-lee."" Compare to smaller Whimbrel, which has head stripes, a piping whistled call, and Far Eastern Curlew, which has a buffy rump and extensively marked underwings. Breeds mainly in grasslands, from coastal marshes to upland moors; winters mainly in coastal lowlands, especially mudflats and adjacent marshes."
327,Puff-throated Babbler,/species/putbab1/IN-PB-SH,"Personable medium-sized babbler, often encountered foraging in noisy, lively flocks on or around the forest floor. Clay-colored with brown-streaked pale underparts. White brow and throat contrast with buffy cheeks and a rusty-orange crown. Occurs from lowlands up into hilly and mountainous forests. Song can be a distinctive series of two to three notes (“two-chee-deer!”), a more extended melodic warble, or a descending chattering trill. Gives rasping, rattling calls, often while flipping leaves on the ground in foraging flocks."
328,Greater Short-toed Lark,/species/gstlar1/IN-PB-SH,"Small pale lark, usually seen foraging on the ground in open areas with scattered low vegetation, cultivated fields, or at roadsides. Keeps low to the ground, runs quickly. Short bill and rounded head; long tertial feathers largely hide the wings at rest. Dark patch at the neck sides and largely unstreaked belly distinctive in most plumages. Drifting, hovering song flight delivered with tail folded."
329,Baillon's Crake,/species/baicra1/IN-PB-SH,"Widespread across Africa, Eurasia and Australasia. Tiny crake that breeds in wet sedge marshes and bogs; migrants can be in any marshy habitat. Usually retiring and rarely seen, but can be confiding. Although unmistakeable in parts of its range, it can sometimes co-occur with the similar Little Crake. Best told by its shorter wings, short, greenish bill that lacks red base and barred flanks; juvenile darker and more extensively barred below than juvenile Little Crake."
330,Eurasian Skylark,/species/skylar/IN-PB-SH,"Like most larks, often inconspicuous on the ground and best detected by voice. The prolonged warbling and trilling song is given in flight, often so far overhead that the bird appears as a speck, if you can even see it. On the ground, note brown streaky plumage, distinct bushy crest, and broad, diffuse paler eyering. Chunkier than pipits, and does not habitually bob its rear end. In flight shows white sides to tail and narrow white trailing edge to wings. A denizen of open country, especially rough grassland, heathland, farmland, and airports."
